Geneid,SRR31110490,SRR31110491,SRR31110500,SRR31110501,SRR31110510,SRR31110511,SRR31110520,SRR31110521,SRR31110528,SRR31110533,SRR31110538,SRR31110543
ENSG00000171502,1521,1423,211,126,476,143,1196,2082,3921,98,172,328
ENSG00000116157,26,19,22,11,36,11,20,33,38,46,20,29
ENSG00000143036,104,91,38,23,74,22,90,160,61,104,22,120
ENSG00000065243,912,820,282,173,824,327,634,1147,1071,345,584,958
ENSG00000226960,0,0,2,2,2,0,0,0,2,4,2,2
ENSG00000234080,0,0,5,8,6,0,0,0,0,6,2,0
ENSG00000285409,2,0,0,0,0,0,2,4,0,4,1,2
ENSG00000117528,566,520,132,87,447,220,408,667,596,210,247,622
ENSG00000271723,8,6,3,2,4,3,0,11,4,4,0,2
ENSG00000036549,847,809,297,140,1060,446,625,1195,1384,355,667,924
ENSG00000225191,0,2,8,4,0,0,2,2,4,4,0,5
ENSG00000287870,64,48,9,4,52,29,44,70,56,2,41,34
ENSG00000232048,0,0,2,0,0,2,0,0,2,4,0,8
ENSG00000232857,0,2,2,2,2,0,1,4,0,2,4,16
ENSG00000273637,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228838,0,0,3,0,2,3,4,2,2,17,2,2
ENSG00000283761,11,16,8,2,13,3,12,13,7,10,5,9
ENSG00000189433,3,1,9,7,0,4,6,2,4,6,2,8
ENSG00000142700,0,0,9,16,2,0,0,2,2,24,2,8
ENSG00000233514,0,0,7,0,0,2,0,0,4,2,2,2
ENSG00000127124,655,683,700,388,1348,589,507,835,981,531,916,585
ENSG00000266993,21,14,13,10,11,6,12,20,22,2,12,16
ENSG00000229316,0,0,5,1,0,0,0,0,0,2,0,2
ENSG00000234099,2,2,8,8,8,0,2,10,0,0,4,6
ENSG00000137936,85,110,142,86,233,87,63,118,179,225,99,379
ENSG00000232752,0,1,4,0,0,1,0,0,0,2,0,0
ENSG00000235829,22,10,8,0,26,16,17,32,41,9,38,13
ENSG00000143032,6,0,18,15,0,1,1,2,2,34,0,15
ENSG00000280040,0,0,3,6,0,0,1,2,1,0,2,2
ENSG00000117519,1997,1913,220,159,2788,1133,1578,2601,1290,727,657,2407
ENSG00000238037,0,0,3,4,0,0,0,0,0,3,0,0
ENSG00000134215,51,27,58,53,54,20,32,57,74,103,331,67
ENSG00000227935,28,14,5,5,2,6,7,23,3,13,4,5
ENSG00000228502,22,25,20,12,20,14,8,29,36,8,4,41
ENSG00000271277,0,6,0,0,6,4,0,6,10,0,8,2
ENSG00000236888,6,18,2,0,7,6,12,12,10,0,2,10
ENSG00000230828,8,2,4,0,9,2,3,4,14,4,2,2
ENSG00000152078,364,376,74,44,480,219,279,423,476,107,214,295
ENSG00000171492,744,642,95,51,394,141,489,930,883,113,283,378
ENSG00000233129,2,0,0,0,3,2,0,0,0,0,0,1
ENSG00000170989,461,441,238,170,514,208,356,648,536,752,289,1026
ENSG00000237897,0,0,3,4,6,6,0,0,6,12,0,2
ENSG00000116299,461,434,280,156,673,259,320,636,491,186,342,191
ENSG00000137962,502,566,265,139,688,256,433,701,911,832,587,1235
ENSG00000286692,2,0,13,3,4,0,2,0,0,8,0,4
ENSG00000260464,21,23,14,7,44,28,15,21,50,14,15,16
ENSG00000231996,0,2,0,1,0,0,0,1,0,0,0,0
ENSG00000117154,298,274,143,75,433,183,193,341,308,135,348,182
ENSG00000162377,96,108,54,25,154,57,58,149,219,63,130,88
ENSG00000116774,24,18,51,20,20,8,24,52,68,73,12,73
ENSG00000287756,19,13,29,12,40,9,8,26,45,20,55,37
ENSG00000284652,6,6,14,16,4,2,4,2,22,26,0,19
ENSG00000023909,160,165,49,34,185,75,141,269,236,55,91,181
ENSG00000069702,334,324,128,66,406,176,301,519,288,317,203,780
ENSG00000228399,0,0,4,0,0,0,0,0,0,4,2,4
ENSG00000236776,2,7,4,4,2,0,6,4,4,10,3,8
ENSG00000271252,0,0,4,0,0,0,0,1,0,4,0,0
ENSG00000235794,2,0,0,0,0,1,0,2,0,0,0,0
ENSG00000233983,0,0,4,6,0,0,0,0,0,5,0,4
ENSG00000198198,689,728,532,363,1474,612,529,995,1740,889,1238,1157
ENSG00000116793,316,305,103,68,587,251,254,416,493,104,441,212
ENSG00000232918,0,0,0,0,0,0,0,0,2,0,0,2
ENSG00000183298,0,0,6,3,4,2,0,2,6,10,2,9
ENSG00000117525,644,597,110,68,787,326,496,813,265,482,251,663
ENSG00000162699,6,0,4,0,27,14,0,6,26,17,16,6
ENSG00000203914,2,0,1,1,2,1,0,0,4,10,0,10
ENSG00000270457,2,0,0,0,2,0,3,0,8,5,7,0
ENSG00000231987,1,0,4,8,0,0,0,0,0,14,1,5
ENSG00000229842,2,2,0,2,0,0,2,2,0,4,0,2
ENSG00000198162,1732,1540,479,322,3064,1209,1317,2285,2258,815,1183,1324
ENSG00000171517,80,104,36,23,29,10,68,108,10,43,4,37
ENSG00000203864,0,0,2,0,0,0,0,0,0,0,0,1
ENSG00000233482,0,0,1,0,0,0,0,0,0,0,0,3
ENSG00000143079,447,417,244,118,655,238,319,506,525,292,386,521
ENSG00000232450,3,6,14,8,35,8,6,12,11,26,10,10
ENSG00000235038,33,21,24,12,9,11,17,19,24,10,12,15
ENSG00000173947,53,58,24,17,24,14,56,86,30,53,8,115
ENSG00000134198,30,23,15,7,23,6,18,34,32,35,7,19
ENSG00000279513,8,16,0,0,11,8,12,4,16,0,6,6
ENSG00000117620,344,363,184,79,284,95,258,538,428,138,186,295
ENSG00000162688,500,491,85,64,367,145,363,659,657,260,349,430
ENSG00000197106,956,903,448,289,1500,605,751,1280,1394,329,1051,323
ENSG00000231072,0,0,6,10,0,0,2,4,0,8,0,6
ENSG00000185946,919,881,233,139,1089,432,654,1186,1249,291,898,742
ENSG00000162627,79,78,28,24,142,52,94,142,104,62,68,91
ENSG00000265808,336,321,41,26,394,183,254,468,392,123,245,287
ENSG00000225923,0,0,2,0,0,0,0,0,0,2,0,2
ENSG00000134247,189,140,174,79,445,173,96,180,131,177,169,150
ENSG00000162664,646,721,223,125,650,262,516,1040,955,197,430,722
ENSG00000134253,46,42,58,36,75,26,11,34,85,76,38,70
ENSG00000223416,4,3,8,2,12,6,3,3,10,6,0,0
ENSG00000179571,3,2,6,9,6,0,2,0,2,27,1,11
ENSG00000227850,0,2,2,0,0,0,0,4,0,2,0,2
ENSG00000285532,16,10,0,2,9,3,9,4,9,8,2,9
ENSG00000226755,0,0,12,14,0,0,0,0,2,8,0,0
ENSG00000183508,20,14,138,62,49,6,14,40,14,68,2,46
ENSG00000277095,2,0,4,2,6,0,0,0,4,0,0,0
ENSG00000264145,0,0,0,0,3,0,0,0,0,4,0,0
ENSG00000238256,0,0,0,1,0,0,0,0,1,0,2,0
ENSG00000198765,5,0,9,9,0,0,3,3,1,2,0,2
ENSG00000143398,340,354,109,77,493,180,184,453,500,253,358,398
ENSG00000196505,605,621,147,91,581,255,514,842,779,232,381,557
ENSG00000223489,12,4,26,23,8,2,10,2,22,41,34,10
ENSG00000230546,10,11,4,0,19,2,6,2,14,2,4,6
ENSG00000213262,0,0,4,4,0,0,0,0,0,0,2,0
ENSG00000287015,0,0,12,4,0,1,2,6,2,8,0,4
ENSG00000235526,10,11,2,4,16,4,8,15,10,4,17,12
ENSG00000228347,2,2,16,4,4,2,0,0,2,18,0,9
ENSG00000236012,0,2,4,2,0,0,0,0,0,5,0,2
ENSG00000134200,0,2,0,2,2,0,0,2,0,0,0,2
ENSG00000065183,188,179,42,26,202,62,126,222,219,116,89,135
ENSG00000226126,2,0,2,4,4,0,0,0,0,4,0,4
ENSG00000163156,90,87,54,26,144,36,68,114,138,76,65,125
ENSG00000228453,3,0,1,0,0,0,0,2,0,0,0,0
ENSG00000261168,12,16,13,4,6,0,16,8,16,21,12,5
ENSG00000233432,4,2,8,5,2,0,0,5,0,4,0,0
ENSG00000229911,0,0,6,4,0,0,1,0,0,2,0,2
ENSG00000171943,344,301,93,60,245,83,240,413,340,62,129,260
ENSG00000270719,2,0,0,2,0,0,0,0,0,4,0,0
ENSG00000155761,149,130,82,39,34,18,98,186,40,58,11,149
ENSG00000116830,190,205,101,68,194,69,201,274,220,181,90,269
ENSG00000234422,0,0,1,1,0,0,0,0,0,0,0,0
